elapsed_ms,programs_submitted,valid_programs,unique_pcs_valid,unique_pcs_all
38513,1,0,0,1247
75948,2,0,0,1249
113290,3,0,0,1250
150941,4,0,0,1256
188426,5,0,0,1256
226010,6,0,0,1257
263512,7,0,0,1278
301174,8,1,2654,2827
343544,9,1,2654,2827
381448,10,1,2654,2827
419878,11,1,2654,2827
458140,12,1,2654,2827
496445,13,1,2654,2827
534835,14,2,2852,2986
573340,15,2,2852,2986
611366,16,3,2979,3111
628096,17,4,3118,3250
667158,18,4,3118,3256
706654,19,4,3118,3264
744274,20,4,3118,3298
781674,21,4,3118,3324
819325,22,4,3118,3327
856901,23,4,3118,3327
895393,24,4,3118,3327
932961,25,4,3118,3327
970016,26,5,3120,3328
1007683,27,5,3120,3328
1048720,28,5,3120,3328
1086612,29,5,3120,3328
1123893,30,5,3120,3328
1161028,31,5,3120,3328
1199447,32,5,3120,3328
1237218,33,5,3120,3328
1274609,34,6,3153,3360
1311115,35,7,3183,3385
1347567,36,7,3183,3386
1388546,37,7,3183,3386
1426177,38,8,3226,3410
1463599,39,8,3226,3410
1500485,40,9,3240,3415
1537367,41,9,3240,3415
1575011,42,10,3247,3419
1612153,43,10,3247,3419
1648487,44,10,3247,3419
1685086,45,10,3247,3474
1726262,46,10,3247,3474
1763920,47,10,3247,3474
1802378,48,10,3247,3475
1839758,49,10,3247,3475
1877670,50,10,3247,3475
1914415,51,10,3247,3475
1951695,52,10,3247,3622
1989356,53,10,3247,3623
2025958,54,10,3247,3623
2065359,55,10,3247,3623
2104603,56,10,3247,3623
2142396,57,10,3247,3623
2179726,58,10,3247,3623
2217001,59,10,3247,3623
2254014,60,10,3247,3623
2291905,61,11,3278,3654
2328789,62,11,3278,3654
2365234,63,12,3287,3663
2402780,64,13,3314,3688
2441476,65,13,3314,3688
2478317,66,13,3314,3688
2515404,67,13,3314,3688
2552616,68,13,3314,3688
2589494,69,13,3314,3688
2626965,70,13,3314,3688
2665018,71,13,3314,3688
2702307,72,14,3329,3703
2739065,73,14,3329,3704
2780219,74,14,3329,3704
2817189,75,14,3329,3704
2854630,76,15,3329,3704
2892358,77,15,3329,3704
2929995,78,15,3329,3704
2967340,79,16,3331,3705
3004529,80,16,3331,3705
3041249,81,16,3331,3705
3078511,82,16,3331,3705
3120216,83,16,3331,3705
3157639,84,17,3338,3705
3195231,85,17,3338,3705
3232179,86,17,3338,3705
3268774,87,17,3338,3705
3305707,88,18,3339,3706
3342588,89,18,3339,3706
3379933,90,18,3339,3706
3416841,91,18,3339,3706
3458611,92,18,3339,3706
3496991,93,18,3339,3706
3535579,94,18,3339,3706
3572757,95,18,3339,3706
3610384,96,19,3342,3709
3625330,97,19,3342,3709
3662683,98,19,3342,3709
3699662,99,19,3342,3709
3736329,100,19,3342,3709
3773581,101,19,3342,3710
3814631,102,19,3342,3710
3827420,103,19,3342,3710
3865554,104,20,3342,3710
3903281,105,20,3342,3712
3941108,106,20,3342,3712
3978625,107,20,3342,3712
4016169,108,20,3342,3712
4053245,109,20,3342,3712
4089774,110,20,3342,3712
4126906,111,21,3347,3712
4167078,112,21,3347,3712
4204436,113,22,3347,3712
4241448,114,23,3347,3712
4278498,115,23,3347,3712
